substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
106,0,0,-1.0,443,1,0.0015110714285714,2.7673,0
106,0,0,-1.0,443,2,0.0015110714285714,0.0680333333333333,0
106,0,0,-1.0,443,3,0.0015110714285714,0.24498,0
106,0,0,-1.0,514,1,0.0015164642857142,2.9009,0
106,0,0,-1.0,514,2,0.0015164642857142,0.0727066666666667,0
106,0,0,-1.0,514,3,0.0015164642857142,0.122736666666667,0
106,0,0,-1.0,689,1,0.001513,2.48033333333333,0
106,0,0,-1.0,689,2,0.001513,0.0742466666666667,0
106,0,0,-1.0,689,3,0.001513,0.0914366666666667,0
106,0,0,-1.0,781,1,0.001512,2.8577,0
106,0,0,-1.0,781,2,0.001512,0.0592933333333333,0
106,0,0,-1.0,781,3,0.001512,0.591433333333333,0
106,0,0,-1.0,817,1,0.0673,2.8395,0
106,0,0,-1.0,817,2,0.0673,0.0676966666666666,0
106,0,0,-1.0,817,3,0.0673,0.859366666666667,0
106,875,0,32.5686701,443,1,0.0029,2.77956666666667,1
106,875,0,32.5686701,443,2,0.0029,0.0648933333333333,1
106,875,0,32.5686701,443,3,0.0029,0.24637,1
106,875,0,48.9122242,514,1,0.0028597407407407,2.9451,1
106,875,0,48.9122242,514,2,0.0028597407407407,0.0682733333333333,1
106,875,0,48.9122242,514,3,0.0028597407407407,0.121723333333333,1
106,875,0,65.2966057,689,1,0.0028355185185185,2.57143333333333,1
106,875,0,65.2966057,689,2,0.0028355185185185,0.06484,1
106,875,0,65.2966057,689,3,0.0028355185185185,0.0912066666666667,1
106,875,0,81.6865652,781,1,0.0028258214285714,3.09766666666667,1
106,875,0,81.6865652,781,2,0.0028258214285714,0.0756566666666667,1
106,875,0,81.6865652,781,3,0.0028258214285714,0.587133333333333,1
106,875,0,98.0297695,817,1,0.0028213703703703,2.56973333333333,1
106,875,0,98.0297695,817,2,0.0028213703703703,0.04812,1
106,875,0,98.0297695,817,3,0.0028213703703703,0.790966666666667,1
106,875,0,130.5663213,443,1,0.0028242962962963,2.73896666666667,1
106,875,0,130.5663213,443,2,0.0028242962962963,0.0561366666666667,1
106,875,0,130.5663213,443,3,0.0028242962962963,0.245266666666667,1
106,875,0,146.9541151,514,1,0.00282875,2.9438,1
106,875,0,146.9541151,514,2,0.00282875,0.0722066666666667,1
106,875,0,146.9541151,514,3,0.00282875,0.12241,1
106,875,0,163.345372,689,1,0.0028339285714285,2.5375,1
106,875,0,163.345372,689,2,0.0028339285714285,0.0616533333333333,1
106,875,0,163.345372,689,3,0.0028339285714285,0.09127,1
106,875,0,179.7306255,781,1,0.0028411785714285,3.138,1
106,875,0,179.7306255,781,2,0.0028411785714285,0.07662,1
106,875,0,179.7306255,781,3,0.0028411785714285,0.585,1
106,875,0,196.0963709,817,1,0.0028440714285714,2.78696666666667,1
106,875,0,196.0963709,817,2,0.0028440714285714,0.0528533333333333,1
106,875,0,196.0963709,817,3,0.0028440714285714,0.848266666666667,1
106,875,0,228.7151419,443,1,0.0028500357142857,2.60303333333333,1
106,875,0,228.7151419,443,2,0.0028500357142857,0.0662866666666667,1
106,875,0,228.7151419,443,3,0.0028500357142857,0.244026666666667,1
106,875,0,245.1115747,514,1,0.0028501428571428,2.9043,1
106,875,0,245.1115747,514,2,0.0028501428571428,0.0743166666666667,1
106,875,0,245.1115747,514,3,0.0028501428571428,0.121696666666667,1
106,875,0,261.4438688,689,1,0.002851,2.57116666666667,1
106,875,0,261.4438688,689,2,0.002851,0.0617166666666667,1
106,875,0,261.4438688,689,3,0.002851,0.0926766666666666,1
106,875,0,277.8330566,781,1,0.0028515357142857,3.15666666666667,1
106,875,0,277.8330566,781,2,0.0028515357142857,0.0772933333333333,1
106,875,0,277.8330566,781,3,0.0028515357142857,0.586733333333333,1
106,875,0,294.1823717,817,1,0.0028512222222222,2.73893333333333,1
106,875,0,294.1823717,817,2,0.0028512222222222,0.0526033333333333,1
106,875,0,294.1823717,817,3,0.0028512222222222,0.828766666666666,1
106,875,0,326.7663168,443,1,0.0028496785714285,2.40073333333333,1
106,875,0,326.7663168,443,2,0.0028496785714285,0.0933233333333333,1
106,875,0,326.7663168,443,3,0.0028496785714285,0.244986666666667,1
106,875,0,343.1583526,514,1,0.002848,2.87983333333333,1
106,875,0,343.1583526,514,2,0.002848,0.08215,1
106,875,0,343.1583526,514,3,0.002848,0.122306666666667,1
106,875,0,359.5513149,689,1,0.002847,2.5182,1
106,875,0,359.5513149,689,2,0.002847,0.06125,1
106,875,0,359.5513149,689,3,0.002847,0.0923933333333333,1
106,875,0,375.8970809,781,1,0.002846,3.15,1
106,875,0,375.8970809,781,2,0.002846,0.0772833333333333,1
106,875,0,375.8970809,781,3,0.002846,0.583966666666667,1
106,875,0,392.2698625,817,1,0.00284625,2.6645,1
106,875,0,392.2698625,817,2,0.00284625,0.0521133333333333,1
106,875,0,392.2698625,817,3,0.00284625,0.792333333333333,1
106,875,0,424.8377366,443,1,0.0028456071428571,2.15246666666667,1
106,875,0,424.8377366,443,2,0.0028456071428571,0.138686666666667,1
106,875,0,424.8377366,443,3,0.0028456071428571,0.24591,1
106,875,0,441.2222566,514,1,0.002845,2.82246666666667,1
106,875,0,441.2222566,514,2,0.002845,0.09662,1
106,875,0,441.2222566,514,3,0.002845,0.122533333333333,1
106,875,0,457.6165537,689,1,0.002844,2.48893333333333,1
