substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
126,900,0,539.257554,514,3,0.01314,0.068243333,1
126,900,0,555.599169,689,1,0.01025,1.642633333,1
126,900,0,555.599169,689,2,0.01025,0.148613333,1
126,900,0,555.599169,689,3,0.01025,0.13152,1
126,900,0,571.9253523,781,1,0.009337188,1.1075,1
126,900,0,571.9253523,781,2,0.009337188,0.038526667,1
126,900,0,571.9253523,781,3,0.009337188,0.219563333,1
126,900,0,588.2542311,817,1,0.00898,0.478933333,1
126,900,0,588.2542311,817,2,0.00898,0.019275667,1
126,900,0,588.2542311,817,3,0.00898,0.130646667,1
126,900,0,620.9586218,443,1,0.01581,0.646266667,1
126,900,0,620.9586218,443,2,0.01581,0.105006667,1
126,900,0,620.9586218,443,3,0.01581,0.379,1
126,900,0,637.2719682,514,1,0.013127857,0.8796,1
126,900,0,637.2719682,514,2,0.013127857,0.0628,1
126,900,0,637.2719682,514,3,0.013127857,0.069126667,1
126,900,0,653.5604096,689,1,0.01023963,1.654566667,1
126,900,0,653.5604096,689,2,0.01023963,0.159816667,1
126,900,0,653.5604096,689,3,0.01023963,0.13497,1
126,900,0,669.8791204,781,1,0.009319896,1.087966667,1
126,900,0,669.8791204,781,2,0.009319896,0.040156667,1
126,900,0,669.8791204,781,3,0.009319896,0.216163333,1
126,900,0,686.1957423,817,1,0.00896,0.471833333,1
126,900,0,686.1957423,817,2,0.00896,0.019883,1
126,900,0,686.1957423,817,3,0.00896,0.131016667,1
126,900,0,719.0722098,443,1,0.01578,0.558,1
126,900,0,719.0722098,443,2,0.01578,0.126796667,1
126,900,0,719.0722098,443,3,0.01578,0.377,1
126,900,0,735.3985136,514,1,0.01311,0.7952,1
126,900,0,735.3985136,514,2,0.01311,0.081373333,1
126,900,0,735.3985136,514,3,0.01311,0.068366667,1
126,900,0,751.696159,689,1,0.01023,1.6627,1
126,900,0,751.696159,689,2,0.01023,0.18238,1
126,900,0,751.696159,689,3,0.01023,0.142266667,1
126,900,0,767.9849973,781,1,0.00931,1.097933333,1
126,900,0,767.9849973,781,2,0.00931,0.043936667,1
