substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
102,900,0,555.8854653,689,2,0.006525357,0.14009,1
102,900,0,555.8854653,689,3,0.006525357,0.149326667,1
102,900,0,572.2582764,781,1,0.005952097,1.316666667,1
102,900,0,572.2582764,781,2,0.005952097,0.034723333,1
102,900,0,572.2582764,781,3,0.005952097,0.218876667,1
102,900,0,588.6116669,817,1,0.005727778,0.986166667,1
102,900,0,588.6116669,817,2,0.005727778,0.031436667,1
102,900,0,588.6116669,817,3,0.005727778,0.2398,1
102,900,0,621.4320756,443,1,0.010119286,2.0217,1
102,900,0,621.4320756,443,2,0.010119286,0.459533333,1
102,900,0,621.4320756,443,3,0.010119286,0.386,1
102,900,0,637.7902739,514,1,0.00842,2.051866667,1
102,900,0,637.7902739,514,2,0.00842,0.10913,1
102,900,0,637.7902739,514,3,0.00842,0.06997,1
102,900,0,654.0861753,689,1,0.00658,1.9189,1
102,900,0,654.0861753,689,2,0.00658,0.1551,1
102,900,0,654.0861753,689,3,0.00658,0.147623333,1
102,900,0,670.4522417,781,1,0.005997813,1.280866667,1
102,900,0,670.4522417,781,2,0.005997813,0.037643333,1
102,900,0,670.4522417,781,3,0.005997813,0.217196667,1
102,900,0,686.7635525,817,1,0.00577,0.896133333,1
102,900,0,686.7635525,817,2,0.00577,0.032063333,1
102,900,0,686.7635525,817,3,0.00577,0.228626667,1
102,900,0,719.5310555,443,1,0.010198148,1.755566667,1
102,900,0,719.5310555,443,2,0.010198148,0.5722,1
102,900,0,719.5310555,443,3,0.010198148,0.3853,1
102,900,0,735.8657208,514,1,0.008487143,1.8621,1
102,900,0,735.8657208,514,2,0.008487143,0.14439,1
102,900,0,735.8657208,514,3,0.008487143,0.069333333,1
102,900,0,752.177578,689,1,0.00663,1.8889,1
102,900,0,752.177578,689,2,0.00663,0.176673333,1
102,900,0,752.177578,689,3,0.00663,0.147683333,1
102,900,0,768.4843238,781,1,0.006047813,1.221133333,1
102,900,0,768.4843238,781,2,0.006047813,0.042673333,1
102,900,0,768.4843238,781,3,0.006047813,0.214123333,1
102,900,0,784.8055386,817,1,0.00582,0.8446,1
102,900,0,784.8055386,817,2,0.00582,0.03401,1
102,900,0,784.8055386,817,3,0.00582,0.218196667,1
102,900,0,817.5975678,443,1,0.01028,1.5359,1
102,900,0,817.5975678,443,2,0.01028,0.683366667,1
102,900,0,817.5975678,443,3,0.01028,0.386,1
102,900,0,833.9537384,514,1,0.008540741,1.678733333,1
102,900,0,833.9537384,514,2,0.008540741,0.185116667,1
102,900,0,833.9537384,514,3,0.008540741,0.069183333,1
102,900,0,850.2801481,689,1,0.00668,1.827566667,1
102,900,0,850.2801481,689,2,0.00668,0.194696667,1
102,900,0,850.2801481,689,3,0.00668,0.14415,1
102,900,0,866.6017803,781,1,0.006090625,1.2368,1
102,900,0,866.6017803,781,2,0.006090625,0.0502,1
102,900,0,866.6017803,781,3,0.006090625,0.212953333,1
102,900,0,882.9323799,817,1,0.00586,0.8121,1
102,900,0,882.9323799,817,2,0.00586,0.037786667,1
102,900,0,882.9323799,817,3,0.00586,0.214196667,1
102,900,0,1000,443,1,0.007055556,1.213866667,1
102,900,0,1000,443,2,0.007055556,0.871466667,1
102,900,0,1000,443,3,0.007055556,0.386,1
102,900,0,1000,514,1,0.005936429,1.4509,1
102,900,0,1000,514,2,0.005936429,0.2971,1
102,900,0,1000,514,3,0.005936429,0.06977,1
102,900,0,1000,689,1,0.00466,1.7039,1
102,900,0,1000,689,2,0.00466,0.254493333,1
102,900,0,1000,689,3,0.00466,0.1456,1
102,900,0,1000,781,1,0.004244456,1.2364,1
102,900,0,1000,781,2,0.004244456,0.056033333,1
102,900,0,1000,781,3,0.004244456,0.214903333,1
102,900,0,1000,817,1,0.004081852,0.9947,1
102,900,0,1000,817,2,0.004081852,0.04359,1
102,900,0,1000,817,3,0.004081852,0.23805,1
102,845,0,32.6961146,443,1,0.006371786,1.157033333,2
102,845,0,32.6961146,443,2,0.006371786,0.9356,2
102,845,0,32.6961146,443,3,0.006371786,0.385,2
102,845,0,48.9719786,514,1,0.00522,1.396466667,2
102,845,0,48.9719786,514,2,0.00522,0.3781,2
102,845,0,48.9719786,514,3,0.00522,0.0694,2
102,845,0,65.1810616,689,1,0.00405,1.708933333,2
102,845,0,65.1810616,689,2,0.00405,0.283933333,2
102,845,0,65.1810616,689,3,0.00405,0.147103333,2
