X,Y,Z
6.758195139750205271e+03,8.907245531272953940e+02,1.061562368281346203e+00
7.460844465413274520e+03,8.416583883036166753e+02,2.638265993750034677e-01
6.218942098165685820e+03,8.756888649577260821e+02,6.170234871536486310e-01
2.661710405351866029e+03,8.916258762539690679e+02,4.646752581209496191e-01
6.821507147286040890e+03,8.851244416790259493e+02,9.201885901334072582e-01
5.431082259965774028e+03,8.651738477518728132e+02,3.287494260009863334e-01
7.012474019586547911e+03,8.419754114666045552e+02,2.720115883718656202e-01
3.812845540312492631e+03,8.925694658621596318e+02,7.012160265204574472e-01
6.506183496184229625e+03,8.950432835441881707e+02,1.157278971157067016e+00
1.046181636332562630e+04,8.570421375614189401e+02,5.936670598596784920e-01
5.755247310682958414e+03,8.563606139227699714e+02,2.572749436775839671e-01
1.066559623359139732e+04,8.981939176868412460e+02,1.640309242012974789e+00
7.902975786014676487e+03,8.632271920505191929e+02,4.905840666683733975e-01
2.865031892872840672e+03,9.052731331975028297e+02,7.943270299931934897e-01
8.829491583461916889e+03,8.617486570828764343e+02,5.408165689149644351e-01
6.025945479252860423e+03,9.082455953246987974e+02,1.482866997214651317e+00
1.722376527358260773e+03,8.784181053604219187e+02,4.223679868207916854e-01
1.774300934042825702e+03,8.833200701806233610e+02,3.938744791592309058e-01
5.529863713172759162e+03,8.787736362005151705e+02,6.139616519937902694e-01
7.172070759623499725e+03,8.522763114467160221e+02,2.746888764718922182e-01
8.486563475057046162e+03,8.424523990454758859e+02,2.591498760335259055e-01
2.310889949680687096e+03,8.767180482663814018e+02,3.317229162361080008e-01
4.842263454282187013e+03,8.607485689423004942e+02,2.590004962563500768e-01
9.918414151615648734e+03,8.794903964685165647e+02,1.094624432264491798e+00
5.601939183841001068e+03,9.042305913434420290e+02,1.341280414084889072e+00
1.043180761490599980e+04,8.479283723773153270e+02,3.958261801526862245e-01
2.370720257237968326e+03,8.973825257379845652e+02,5.219167540407692041e-01
3.300233893296016959e+03,8.484475989621846566e+02,5.228095181199314823e-01
6.894000076553877079e+03,8.582083930406848822e+02,3.255806617103944589e-01
1.013273085946224455e+04,8.673411739482188523e+02,8.183756967255246817e-01
4.685982404221029356e+03,8.871437186068671963e+02,7.181635049798422710e-01
4.196617440243722740e+03,8.774351251760707555e+02,4.191038122343315186e-01
1.042431854566764014e+04,8.922125431205334962e+02,1.462539220721249311e+00
1.077040061838732072e+04,8.610295576507545547e+02,7.311954800990843051e-01
1.162424569936010812e+04,8.629652203657946075e+02,9.086420674436378464e-01
1.191273781267952836e+04,8.813805616597543349e+02,1.550266310735149533e+00
3.637567523283892569e+03,8.919371305534687053e+02,6.484416492140010480e-01
1.075002050527215397e+04,8.528885500833690685e+02,5.223016866201437569e-01
1.122179250630557181e+04,8.459098120463789883e+02,4.145736542625236831e-01
2.674389975607195083e+03,8.671765684645665715e+02,3.274989539320511955e-01
1.071971981656927892e+04,8.868043444104307582e+02,1.402456130079261287e+00
9.405063730835221577e+03,8.615238450264530456e+02,5.914368627842181425e-01
8.313281025170052089e+03,9.076898623818090073e+02,1.522241498086700950e+00
2.293546972071166238e+03,8.945163974104559657e+02,4.626038109074787075e-01
6.955840084696919803e+03,8.783283520859356486e+02,7.561055529365329209e-01
1.171934210691197450e+03,8.700183263505128934e+02,7.273186997273051180e-01
5.688162018337075096e+03,8.963345687094792993e+02,1.123591841356874621e+00
1.131479534874935416e+04,8.788572132696198196e+02,1.327731704358907638e+00
8.299947123755951907e+03,8.726897052788631299e+02,7.449994073610028966e-01
8.353695795616349642e+03,9.022367457482512236e+02,1.411555980873717697e+00
3.314144587938289078e+03,8.803145640137935288e+02,3.684298073474860380e-01
5.115020978179895792e+03,8.506021158796977488e+02,2.710611259937745765e-01
1.419100814138979331e+03,9.013222180943751027e+02,5.198197711464603854e-01
1.101311784583301232e+04,8.520266427656656560e+02,5.274933539355388668e-01
9.228829583471901060e+03,8.940367788171623715e+02,1.318550404926169817e+00
4.370484723042112819e+03,8.917854818806155208e+02,7.908203701487135362e-01
9.234477239129681038e+03,8.663540379416817814e+02,6.882924246337548402e-01
3.096636287950891074e+03,8.799067147269589668e+02,3.431266391979575503e-01
8.766766026483799578e+03,8.452253180478818422e+02,2.774877578108146947e-01
5.135131541490986820e+03,8.476581148551483693e+02,3.011153871371590185e-01
1.024449156003965800e+04,8.446918909054274991e+02,3.355649006997222239e-01
2.672054064340372861e+03,8.591119926811311416e+02,4.234624150584975211e-01
1.982891524730964193e+03,8.896235425336724347e+02,3.968578700354593591e-01
3.639347604212965052e+03,9.076436139053730585e+02,1.080370186364048690e+00
4.046834280390207823e+03,8.659204862736472705e+02,2.666766109856238964e-01
8.724341515667958447e+03,8.940539842871763767e+02,1.270410057305223051e+00
6.571807559818294976e+03,8.431984305455463300e+02,2.777783400510314138e-01
3.947108425961078865e+03,8.524355228170146574e+02,3.369166118371764718e-01
1.047822135742108003e+04,8.875771175890229188e+02,1.370645514766364315e+00
6.621743957146868524e+03,8.674123727556424228e+02,4.648043808665917043e-01
7.457163780170100836e+03,8.490217753255309390e+02,2.628075954901589184e-01
8.506357857977069216e+03,8.515015665047980065e+02,3.302598570120357513e-01
3.445008872625355707e+03,8.718942009132452995e+02,2.870534236785832194e-01
1.104055317644603747e+04,9.065877363693391544e+02,1.929754586809926398e+00
6.457920542632957222e+03,8.728454063796752962e+02,5.691047845938915772e-01
1.046684021328247400e+04,8.736703057116669697e+02,1.029740362048208846e+00
4.474590465553417744e+03,8.896891935577190225e+02,7.510790937982765314e-01
1.095063904758335866e+03,8.602670932733665268e+02,9.802194086979640897e-01
7.833951545995675588e+03,8.736206834178166218e+02,7.211213940798998356e-01
1.980318191040141301e+03,8.974102572463025353e+02,4.779077107552524573e-01
9.142801702877644857e+03,8.540038125737551127e+02,4.116310745000741345e-01
4.015657088844434838e+03,9.053809597907371653e+02,1.112121414344472647e+00
1.126923750512964762e+04,8.989736904070607579e+02,1.819625227466078909e+00
8.995653596221825865e+03,9.088486521365985027e+02,1.590993192808695778e+00
6.548255075429850876e+03,8.695913812145736301e+02,5.038453487936679354e-01
1.035500408020237228e+04,8.542150651849282212e+02,5.162865171206925119e-01
1.088059261221471752e+04,8.929600830592538614e+02,1.578487665915669469e+00
1.143052715569856809e+04,8.781409143034061344e+02,1.332804057748531390e+00
1.540633855261228291e+03,8.994140106099691820e+02,4.937526986463595113e-01
8.434673005608674430e+03,8.986414221268078109e+02,1.343165039216065004e+00
4.316456862520128198e+03,8.919446017479999682e+02,7.849110340634335437e-01
3.636418793642239962e+03,9.068774640602468935e+02,1.057460072303664234e+00
8.217302149825904053e+03,9.094505109740961188e+02,1.553996863124059491e+00
1.041147980420190834e+04,8.876663016681251293e+02,1.360239178939554039e+00
1.076561279991851552e+04,8.717037120621012036e+02,1.026443262878328877e+00
9.313493285097647458e+03,8.822908736287797637e+02,1.079025175374890289e+00
5.281490122087157943e+03,8.868426871487639573e+02,8.000277841209406660e-01
7.204698787381652437e+03,8.948862826052283026e+02,1.194661892310081130e+00
1.147947382072525215e+04,8.679737155966106457e+02,1.040311973355341202e+00
1.567380889750850429e+03,8.684341159556905723e+02,5.792906251010392360e-01
7.581043346919893338e+03,8.621316581437313289e+02,4.383617142498075769e-01
8.795403033818796757e+03,9.037127512193840175e+02,1.469212602976342597e+00
2.437402513408200321e+03,9.046505977967973422e+02,6.727063754543332053e-01
1.184078338685672315e+04,9.061078830608516910e+02,2.200843466987055574e+00
4.455989760783604652e+03,8.588904207803565214e+02,2.523791742797452664e-01
1.812808092324122072e+03,8.924231826726677355e+02,4.229844720013821169e-01
9.124331577091317740e+03,8.926506927470589972e+02,1.280032131273120211e+00
9.342044454186470830e+03,8.874663415445746750e+02,1.195813358253354775e+00
5.440156409017446094e+03,9.030872177411863504e+02,1.292484336353433516e+00
5.238356539859091754e+03,8.943863295030899963e+02,1.010692247884528605e+00
8.308378895270352587e+03,9.062021194799026489e+02,1.490199274546207597e+00
1.254856377793841375e+03,8.652206909449284922e+02,7.769072934927050422e-01
4.793004565314344291e+03,9.042333769657101357e+02,1.237592792357363081e+00
6.761473480223230581e+03,8.462101237404779113e+02,2.540596006235557036e-01
1.366928497462498854e+03,9.070259306866031466e+02,5.812460947380208021e-01
1.568272543857052824e+03,8.703792610390920572e+02,5.471030029515779880e-01
1.917899253791893898e+03,8.737353890574639763e+02,4.051033671012248538e-01
1.639548168964368415e+03,8.747911909335530254e+02,4.700169700857128596e-01
7.106589153456189706e+03,8.436489508045096954e+02,2.603361567651658603e-01
1.112833130706909287e+04,8.694752453776583252e+02,1.022867867064547243e+00
6.326207410846775929e+03,8.579166582547584312e+02,2.909900102834576119e-01
8.910775112017563515e+03,9.054641355534707827e+02,1.514072446233723612e+00
5.953235883175989329e+03,8.535862485949371603e+02,2.510655573361989523e-01
2.011274244356551662e+03,8.896875601948903522e+02,3.965555081339192656e-01
1.148926763446191399e+04,8.801278106638704912e+02,1.404556431685084261e+00
1.987902676645730480e+03,8.502329039764929348e+02,8.486658462281446713e-01
1.135803341826835458e+04,8.508397242209886144e+02,5.319033647843760537e-01
9.125187775186295767e+03,8.598410107011870878e+02,5.265040624268340075e-01
1.734562416845226835e+03,8.737158059545129163e+02,4.565603325198569484e-01
8.252014438991174757e+03,8.699523616120935685e+02,6.735451343787337564e-01
