substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
102,-1,0,-1.0,443,1,0.014635652,1.3263,0
102,-1,0,-1.0,443,2,0.014635652,0.037663333,0
102,-1,0,-1.0,443,3,0.014635652,0.414,0
102,-1,0,-1.0,514,1,0.01217,1.2142,0
102,-1,0,-1.0,514,2,0.01217,0.037956667,0
102,-1,0,-1.0,514,3,0.01217,0.151246667,0
102,-1,0,-1.0,689,1,0.0095,1.369166667,0
102,-1,0,-1.0,689,2,0.0095,0.12287,0
102,-1,0,-1.0,689,3,0.0095,0.218373333,0
102,-1,0,-1.0,781,1,0.008608889,1.9098,0
102,-1,0,-1.0,781,2,0.008608889,0.046556667,0
102,-1,0,-1.0,781,3,0.008608889,0.425,0
102,-1,0,-1.0,817,1,0.00832,1.026366667,0
102,-1,0,-1.0,817,2,0.00832,0.030496667,0
102,-1,0,-1.0,817,3,0.00832,0.4002,0
102,900,0,33.214708,443,1,0.0219925,1.270966667,1
102,900,0,33.214708,443,2,0.0219925,0.04483,1
102,900,0,33.214708,443,3,0.0219925,0.414,1
102,900,0,50.4542751,514,1,0.018010357,1.223533333,1
102,900,0,50.4542751,514,2,0.018010357,0.04501,1
102,900,0,50.4542751,514,3,0.018010357,0.151046667,1
102,900,0,67.6843757,689,1,0.013957407,1.4373,1
102,900,0,67.6843757,689,2,0.013957407,0.140466667,1
102,900,0,67.6843757,689,3,0.013957407,0.215946667,1
102,900,0,84.9228812,781,1,0.0126225,1.963466667,1
102,900,0,84.9228812,781,2,0.0126225,0.051126667,1
102,900,0,84.9228812,781,3,0.0126225,0.432333333,1
102,900,0,102.1704801,817,1,0.01222,0.990066667,1
102,900,0,102.1704801,817,2,0.01222,0.03064,1
102,900,0,102.1704801,817,3,0.01222,0.362,1
102,900,0,135.3417685,443,1,0.021777407,1.244833333,1
102,900,0,135.3417685,443,2,0.021777407,0.053496667,1
102,900,0,135.3417685,443,3,0.021777407,0.414,1
102,900,0,152.5879333,514,1,0.018202143,1.215533333,1
102,900,0,152.5879333,514,2,0.018202143,0.044166667,1
102,900,0,152.5879333,514,3,0.018202143,0.15092,1
102,900,0,169.8395265,689,1,0.014270357,1.430533333,1
102,900,0,169.8395265,689,2,0.014270357,0.137236667,1
102,900,0,169.8395265,689,3,0.014270357,0.214536667,1
102,900,0,187.0625154,781,1,0.01299,1.964566667,1
102,900,0,187.0625154,781,2,0.01299,0.053316667,1
102,900,0,187.0625154,781,3,0.01299,0.434066667,1
102,900,0,204.307563,817,1,0.01257,1.066666667,1
102,900,0,204.307563,817,2,0.01257,0.03218,1
102,900,0,204.307563,817,3,0.01257,0.378633333,1
102,900,0,237.5368094,443,1,0.02216,1.206,1
102,900,0,237.5368094,443,2,0.02216,0.059153333,1
102,900,0,237.5368094,443,3,0.02216,0.416,1
102,900,0,254.7596044,514,1,0.01842,1.211066667,1
102,900,0,254.7596044,514,2,0.01842,0.044953333,1
102,900,0,254.7596044,514,3,0.01842,0.15149,1
102,900,0,272.0085504,689,1,0.014372857,1.462633333,1
102,900,0,272.0085504,689,2,0.014372857,0.140586667,1
102,900,0,272.0085504,689,3,0.014372857,0.21405,1
102,900,0,289.2340011,781,1,0.01303,2.0247,1
102,900,0,289.2340011,781,2,0.01303,0.05591,1
102,900,0,289.2340011,781,3,0.01303,0.440866667,1
102,900,0,306.4873994,817,1,0.012575,1.0512,1
102,900,0,306.4873994,817,2,0.012575,0.031996667,1
102,900,0,306.4873994,817,3,0.012575,0.4066,1
